sciName,comName,speciesCode,familyComName
Dromaius novaehollandiae,Emu,emu1,Cassowaries and Emu
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,"Ducks, Geese, and Waterfowl"
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,"Ducks, Geese, and Waterfowl"
Anser indicus,Bar-headed Goose,bahgoo,"Ducks, Geese, and Waterfowl"
Anser caerulescens,Snow Goose,snogoo,"Ducks, Geese, and Waterfowl"
Anser rossii,Ross's Goose,rosgoo,"Ducks, Geese, and Waterfowl"
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,"Ducks, Geese, and Waterfowl"
Anser anser,Graylag Goose,gragoo,"Ducks, Geese, and Waterfowl"
Anser cygnoides,Swan Goose,swagoo1,"Ducks, Geese, and Waterfowl"
Anser anser x cygnoides,Graylag x Swan Goose (hybrid),x00776,"Ducks, Geese, and Waterfowl"
Anser albifrons,Greater White-fronted Goose,gwfgoo,"Ducks, Geese, and Waterfowl"
Anser brachyrhynchus,Pink-footed Goose,pifgoo,"Ducks, Geese, and Waterfowl"
Branta bernicla,Brant,brant,"Ducks, Geese, and Waterfowl"
Branta leucopsis,Barnacle Goose,bargoo,"Ducks, Geese, and Waterfowl"
Branta hutchinsii,Cackling Goose,cacgoo1,"Ducks, Geese, and Waterfowl"
Branta canadensis,Canada Goose,cangoo,"Ducks, Geese, and Waterfowl"
Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415,"Ducks, Geese, and Waterfowl"
Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758,"Ducks, Geese, and Waterfowl"
Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. x Canada Goose (hybrid),x00759,"Ducks, Geese, and Waterfowl"
Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),x00197,"Ducks, Geese, and Waterfowl"
Cygnus olor,Mute Swan,mutswa,"Ducks, Geese, and Waterfowl"
Cygnus buccinator,Trumpeter Swan,truswa,"Ducks, Geese, and Waterfowl"
Cygnus columbianus,Tundra Swan,tunswa,"Ducks, Geese, and Waterfowl"
Tadorna ferruginea,Ruddy Shelduck,rudshe,"Ducks, Geese, and Waterfowl"
Cairina moschata,Muscovy Duck,musduc,"Ducks, Geese, and Waterfowl"
Aix sponsa,Wood Duck,wooduc,"Ducks, Geese, and Waterfowl"
Aix galericulata,Mandarin Duck,manduc,"Ducks, Geese, and Waterfowl"
Spatula querquedula,Garganey,gargan,"Ducks, Geese, and Waterfowl"
Spatula discors,Blue-winged Teal,buwtea,"Ducks, Geese, and Waterfowl"
Spatula clypeata,Northern Shoveler,norsho,"Ducks, Geese, and Waterfowl"
Mareca strepera,Gadwall,gadwal,"Ducks, Geese, and Waterfowl"
Mareca penelope,Eurasian Wigeon,eurwig,"Ducks, Geese, and Waterfowl"
Mareca americana,American Wigeon,amewig,"Ducks, Geese, and Waterfowl"
Mareca strepera x americana,Gadwall x American Wigeon (hybrid),x00724,"Ducks, Geese, and Waterfowl"
Mareca penelope x americana,Eurasian x American Wigeon (hybrid),x00421,"Ducks, Geese, and Waterfowl"
Anas platyrhynchos,Mallard,mallar3,"Ducks, Geese, and Waterfowl"
Mareca strepera x Anas platyrhynchos,Gadwall x Mallard (hybrid),x00420,"Ducks, Geese, and Waterfowl"
Mareca americana x Anas platyrhynchos,American Wigeon x Mallard (hybrid),x00611,"Ducks, Geese, and Waterfowl"
Anas rubripes,American Black Duck,ambduc,"Ducks, Geese, and Waterfowl"
Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid),x00004,"Ducks, Geese, and Waterfowl"
Anas acuta,Northern Pintail,norpin,"Ducks, Geese, and Waterfowl"
Anas platyrhynchos x acuta,Mallard x Northern Pintail (hybrid),x00628,"Ducks, Geese, and Waterfowl"
Anas crecca,Green-winged Teal,gnwtea,"Ducks, Geese, and Waterfowl"
Aythya valisineria,Canvasback,canvas,"Ducks, Geese, and Waterfowl"
Aythya americana,Redhead,redhea,"Ducks, Geese, and Waterfowl"
Aythya ferina,Common Pochard,compoc,"Ducks, Geese, and Waterfowl"
Aythya collaris,Ring-necked Duck,rinduc,"Ducks, Geese, and Waterfowl"
Aythya americana x collaris,Redhead x Ring-necked Duck (hybrid),x00679,"Ducks, Geese, and Waterfowl"
Aythya fuligula,Tufted Duck,tufduc,"Ducks, Geese, and Waterfowl"
Aythya marila,Greater Scaup,gresca,"Ducks, Geese, and Waterfowl"
Aythya affinis,Lesser Scaup,lessca,"Ducks, Geese, and Waterfowl"
Aythya collaris x marila/affinis,Ring-necked Duck x scaup sp. (hybrid),x00682,"Ducks, Geese, and Waterfowl"
Aythya fuligula x marila/affinis,Tufted Duck x scaup sp. (hybrid),tdxsca1,"Ducks, Geese, and Waterfowl"
Somateria spectabilis,King Eider,kineid,"Ducks, Geese, and Waterfowl"
Somateria mollissima,Common Eider,comeid,"Ducks, Geese, and Waterfowl"
Histrionicus histrionicus,Harlequin Duck,harduc,"Ducks, Geese, and Waterfowl"
Melanitta perspicillata,Surf Scoter,sursco,"Ducks, Geese, and Waterfowl"
Melanitta deglandi,White-winged Scoter,whwsco2,"Ducks, Geese, and Waterfowl"
Melanitta americana,Black Scoter,blksco2,"Ducks, Geese, and Waterfowl"
Clangula hyemalis,Long-tailed Duck,lotduc,"Ducks, Geese, and Waterfowl"
Bucephala albeola,Bufflehead,buffle,"Ducks, Geese, and Waterfowl"
Bucephala clangula,Common Goldeneye,comgol,"Ducks, Geese, and Waterfowl"
Bucephala islandica,Barrow's Goldeneye,bargol,"Ducks, Geese, and Waterfowl"
Bucephala clangula x islandica,Common x Barrow's Goldeneye (hybrid),cxbgol1,"Ducks, Geese, and Waterfowl"
Lophodytes cucullatus,Hooded Merganser,hoomer,"Ducks, Geese, and Waterfowl"
Bucephala clangula x Lophodytes cucullatus,Common Goldeneye x Hooded Merganser (hybrid),x00425,"Ducks, Geese, and Waterfowl"
Mergus merganser,Common Merganser,commer,"Ducks, Geese, and Waterfowl"
Mergus serrator,Red-breasted Merganser,rebmer,"Ducks, Geese, and Waterfowl"
